1 - State Code,1 - State Name,8 - Structure Number,22 - Owner Agency,3 - County Code,3 - County Name,4 - Place Code,City - InfoBridge Place Code,City - InfoBridge Place Name,27 - Year Built,29 - Average Daily Traffic,43A - Main Span Material,43B - Main Span Design,45 - Number of Spans in Main Unit,49 - Structure Length (ft.),6A - Features Intersected,7 - Facility Carried By Structure,CAT10 - Bridge Condition,Bridge Age (yr),CAT29 - Deck Area (sq. ft.)
54,'West Virginia',00000000023A241,'State Highway Agency','045','Logan County','0','0','No Place Code',1995,500,'Wood or Timber','Box Beam or Girders - Multiple',1,54.8,'BIG HARTS CREEK         ','CR 3              ','Fair',28,1150.4
54,'West Virginia',00000000040A048,'State Highway Agency','079','Putnam County','0','0','No Place Code',1993,300,'Wood or Timber','Stringer/Multi-beam or Girder',1,46.6,'TRACE CREEK             ','CO. RT. 39        ','Poor',30,993.5
54,'West Virginia',00000000040A007,'State Highway Agency','079','Putnam County','0','0','No Place Code',1993,150,'Wood or Timber','Box Beam or Girders - Multiple',1,44,'TURKEY BRANCH OF 18MI CK','CR 7              ','Fair',30,793.3
54,'West Virginia',00000000027A131,'State Highway Agency','053','Mason County','0','0','No Place Code',1995,60,'Wood or Timber','Box Beam or Girders - Multiple',1,52.5,'SAP SUCKER RUN          ','COUNTY ROUTE 35/10','Good',28,1119.4
54,'West Virginia',00000000018A027,'State Highway Agency','035','Jackson County','0','0','No Place Code',1990,450,'Wood or Timber','Box Beam or Girders - Multiple',1,44,'CLAYLICK RUN            ','CR 8              ','Fair',33,966.4
54,'West Virginia',00000000027A145,'State Highway Agency','053','Mason County','0','0','No Place Code',1998,150,'Wood or Timber','Stringer/Multi-beam or Girder',1,48.6,'GUYAN CREEK             ','CR 86             ','Good',25,1131.1
54,'West Virginia',00000000027A036,'State Highway Agency','053','Mason County','0','0','No Place Code',1990,300,'Wood or Timber','Box Beam or Girders - Multiple',1,44,'UPPER FIVEMILE CREEK    ','CR 27             ','Good',33,793.3
54,'West Virginia',00000000027A035,'State Highway Agency','053','Mason County','0','0','No Place Code',1990,300,'Wood or Timber','Tee Beam',1,43.3,'UPPER FIVEMILE CREEK    ','CR 27             ','Good',33,781.5
54,'West Virginia',00000000006A045,'State Highway Agency','011','Cabell County','0','0','No Place Code',1992,50,'Wood or Timber','Stringer/Multi-beam or Girder',1,65.9,'LITTLE CABELL CREEK     ','CR 17/4           ','Poor',31,1579.4
54,'West Virginia',00000000010A206,'State Highway Agency','019','Fayette County','0','0','No Place Code',1979,150,'Wood or Timber','Stringer/Multi-beam or Girder',1,47.6,'MANNS CREEK             ','PARK ROUTE 802    ','Fair',44,858.4
